id,title,description,thumbnail_url,infographic_url,url,path
c3989494-2532-48cd-a3cf-86e33b2524f3,Safe Exercises During Pregnancy,,,https://oliviahealth.org/wp-content/uploads/Safe-exercises-during-pregnancy_NC.pdf,,infographics/c3989494-2532-48cd-a3cf-86e33b2524f3-Safe-exercises-during-pregnancy_NC.pdf
4ced7e0b-512a-4dd7-8025-f23acaad5c48,Thrush Infographic,,,https://oliviahealth.org/wp-content/uploads/Thrush-infographic_NC.pdf,,infographics/4ced7e0b-512a-4dd7-8025-f23acaad5c48-Thrush-infographic_NC.pdf
78debedf-6456-49e7-adbb-db125dbda616,Cost To Have Baby Infographic,,,https://oliviahealth.org/wp-content/uploads/Cost-To-Have-Baby-Infographic_BB.pdf,,infographics/78debedf-6456-49e7-adbb-db125dbda616-Cost-To-Have-Baby-Infographic_BB.pdf
f6ce2461-6dee-41ba-bba4-d9d375ae9fc9,Postpartum Psychosis,,,https://oliviahealth.org/wp-content/uploads/Postpartum-Psychosis-1.pdf,,infographics/f6ce2461-6dee-41ba-bba4-d9d375ae9fc9-Postpartum-Psychosis-1.pdf
20f3a1dd-1be0-4374-85f0-f1459b35b165,What To Expect At The Hospital For A Stillbirth,,,https://oliviahealth.org/wp-content/uploads/What-to-Expect-at-the-Hospital-for-a-Stillbirth_NC-1.pdf,,infographics/20f3a1dd-1be0-4374-85f0-f1459b35b165-What-to-Expect-at-the-Hospital-for-a-Stillbirth_NC-1.pdf
aa03e3ca-ab36-4c30-8f23-6d5bd7814c2c,Ways To Manage Anxiety During Pregnancy,,,https://oliviahealth.org/wp-content/uploads/Ways-to-Manage-Anxiety-during-Pregnancy_NC.pdf,,infographics/aa03e3ca-ab36-4c30-8f23-6d5bd7814c2c-Ways-to-Manage-Anxiety-during-Pregnancy_NC.pdf
a3a71f65-bce2-4d7a-8764-3b535ed7bf33,Rh Factor And Rho GAM Infographic,,,https://oliviahealth.org/wp-content/uploads/Rh-Factor-And-Rho-GAM-Infographic_BB.pdf,,infographics/a3a71f65-bce2-4d7a-8764-3b535ed7bf33-Rh-Factor-And-Rho-GAM-Infographic_BB.pdf
41dd3b96-3a98-477b-baa8-37b8b37d9216,Postpartum Hemorrhage,,,https://oliviahealth.org/wp-content/uploads/Postpartum-Hemorrhage_BB.pdf,,infographics/41dd3b96-3a98-477b-baa8-37b8b37d9216-Postpartum-Hemorrhage_BB.pdf
1d259da6-5d01-4a64-9cbc-dc4326be5dc4,Managing Mom Guilt Infographic,,,https://oliviahealth.org/wp-content/uploads/Managing-Mom-Guilt-Infographic_BB.pdf,,infographics/1d259da6-5d01-4a64-9cbc-dc4326be5dc4-Managing-Mom-Guilt-Infographic_BB.pdf
42439efd-43e8-47df-b868-2727ce2bb338,Postpartum Exercise,,,https://oliviahealth.org/wp-content/uploads/Postpartum-Exercise_BB.pdf,,infographics/42439efd-43e8-47df-b868-2727ce2bb338-Postpartum-Exercise_BB.pdf
b00fa085-422e-4b5e-917d-d146001fb22c,Postpartum Bipolar Disorder,,,https://oliviahealth.org/wp-content/uploads/Postpartum-Bipolar-Disorder_BB.pdf,,infographics/b00fa085-422e-4b5e-917d-d146001fb22c-Postpartum-Bipolar-Disorder_BB.pdf
b2f9e5f9-d251-4122-b48d-286dd3eb75cb,PTSD With Pregnancy,,,https://oliviahealth.org/wp-content/uploads/PTSD-with-pregnancy_NC.pdf,,infographics/b2f9e5f9-d251-4122-b48d-286dd3eb75cb-PTSD-with-pregnancy_NC.pdf
01470418-6c36-456e-adc6-797c6706f2db,Preconception Checkup,,,https://oliviahealth.org/wp-content/uploads/Preconception-Checkup_BB.pdf,,infographics/01470418-6c36-456e-adc6-797c6706f2db-Preconception-Checkup_BB.pdf
2b837aa7-2ea2-415f-ad1c-f1a70c5d2d13,Benefits Of Exercise During Pregnancy,,,https://oliviahealth.org/wp-content/uploads/Benefits-of-exercise-during-pregnancy_NC.pdf,,infographics/2b837aa7-2ea2-415f-ad1c-f1a70c5d2d13-Benefits-of-exercise-during-pregnancy_NC.pdf
7b047eda-ce97-4c28-92bf-a3ac5124bc12,Eating Disorders,,,https://oliviahealth.org/wp-content/uploads/Eating-Disorders_NC.pdf,,infographics/7b047eda-ce97-4c28-92bf-a3ac5124bc12-Eating-Disorders_NC.pdf
2c95d608-c0e3-4bea-8b6c-6824915de923,Breech Birth Infographic,,,https://oliviahealth.org/wp-content/uploads/Breech-Birth-Infographic_BB.pdf,,infographics/2c95d608-c0e3-4bea-8b6c-6824915de923-Breech-Birth-Infographic_BB.pdf
95421b72-0a40-43d5-91b7-796c77350df6,Stages Of Labor,,,https://oliviahealth.org/wp-content/uploads/Stages-Of-Labor_BB.pdf,,infographics/95421b72-0a40-43d5-91b7-796c77350df6-Stages-Of-Labor_BB.pdf
7a0c3321-4d15-476c-b89b-f5a98f18c591,Adoption For Birth Parents Infographic,,,https://oliviahealth.org/wp-content/uploads/Adoption-For-Birth-Parents-Infographic_BB.pdf,,infographics/7a0c3321-4d15-476c-b89b-f5a98f18c591-Adoption-For-Birth-Parents-Infographic_BB.pdf
